PID,TEST_CYCLE,TEST_SUITE,TEST_CASE,TARGET RELEASE/BUILD,END TO END TEST NAME,OUTPUT LOCATION,ASSIGNED TEAM,WHEN TO RUN,MAIN FUNCTIONAL AREA,SUB FUNCTIONAL AREA,TOTAL RUN LOGS,RUN LOGS PASSED,RUN LOGS FAILED,RUN LOGS SKIPPED,RUN LOGS ERROR,EXECUTION RESULT,EXECUTION STATE 1,EXECUTION STATE 2,FAILURE MESSAGE 1,FAILURE MESSAGE 2,LINK TO EXECUTION ARTIFACTS 1,LINK TO EXECUTION ARTIFACTS 2,LINK TO LOGS 1,LINK TO LOGS 2
TR-20510510,2025-09-17_STEX,ComputerOnly_Tests,TC-15064,    0.16.621_AzureDeployment_az,[TC-15064] [AOI] Validate that the Offline/Online buttons were removed/added from Library View,https://sncstexregression1.az.ra.rockwell.com/stdouts/536872859.txt,POD 14 - Chimera,,Tag Editor,[Deploy],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510510\536870430,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510510\536872859,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user17)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758170327332&to=1758170485514,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user07)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758171903079&to=1758172086559
TR-20510514,2025-09-17_STEX,ComputerOnly_Tests,TC-15067,    0.16.621_AzureDeployment_az,"[TC-15067][Properties Panel-System and Library View] In the tag 50 or more, validate that changing the Value from the Properties panel updates the grid",https://sncstexregression1.az.ra.rockwell.com/stdouts/536872841.txt,POD 14 - Chimera,,Tag Editor,[Tag Editor],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510514\536870436,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510514\536872841,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user36)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758149840523&to=1758150956921,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user07)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758158730854&to=1758159827600
TR-20510515,2025-09-17_STEX,ComputerOnly_Tests,TC-15079,    0.16.621_AzureDeployment_az,[TC-15079] Verify rack optimized device workflow - Part 2,https://sncstexregression1.az.ra.rockwell.com/stdouts/536872861.txt,POD 5 - Kraken,,Devices,"[Devices, Devices -> Device Profile, Devices -> Device List]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510515\536870443,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510515\536872861,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user13)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758161239287&to=1758161699203,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user13)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758165641589&to=1758166117569
TR-20510517,2025-09-17_STEX,ComputerOnly_Tests,TC-15087,    0.16.621_AzureDeployment_az,[TC-15087] Verify that the checkbox is disabled and unselectable when controller contains errors before deploy,https://sncstexregression1.az.ra.rockwell.com/stdouts/536872839.txt,POD 33 - MerLEE,,Deploy,[Deploy],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510517\536870419,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510517\536872839,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user44)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758172725935&to=1758173087710,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user58)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758156357585&to=1758156687913
TR-20510518,2025-09-17_STEX,ComputerOnly_Tests,TC-15089,    0.16.621_AzureDeployment_az,[TC-15089] Verify select/remove/sort devices from category groups in catalog configure page,https://sncstexregression1.az.ra.rockwell.com/stdouts/536873875.txt,POD 16 - Badger,,Devices,"[Devices -> Device Connections, Devices]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510518\536871012,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510518\536873875,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user43)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758180064528&to=1758180226101,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user28)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758172226701&to=1758172381831
TR-20510519,2025-09-17_STEX,ComputerOnly_Tests,TC-15100,    0.16.621_AzureDeployment_az,[TC-15100] Verify messages are displayed in configure page when adding new devices under a bus,https://sncstexregression1.az.ra.rockwell.com/stdouts/536873874.txt,POD 16 - Badger,,Devices,"[Devices -> Device Connections, Devices]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510519\536871008,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510519\536873874,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user51)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758166921319&to=1758167168087,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user32)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758181729083&to=1758181941594
TR-20510520,2025-09-17_STEX,ComputerOnly_Tests,TC-15105,    0.16.621_AzureDeployment_az,[TC-15105] Complete device creation using configure wizard and verify devices created in device explorer,https://sncstexregression1.az.ra.rockwell.com/stdouts/536873878.txt,POD 16 - Badger,,Devices,"[Devices -> Device Connections, Devices]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510520\536871014,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510520\536873878,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user39)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758150735683&to=1758150907469,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user48)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758155505863&to=1758155700514
TR-20510521,2025-09-17_STEX,ComputerOnly_Tests,TC-15113,    0.16.621_AzureDeployment_az,[TC-15113] Complete device input fields during device creation and assignment,https://sncstexregression1.az.ra.rockwell.com/stdouts/536873877.txt,POD 16 - Badger,,Devices,"[Devices -> Device Connections, Devices]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510521\536871011,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510521\536873877,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user15)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758183140640&to=1758183348695,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user47)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758168492880&to=1758168762967
TR-20510526,2025-09-17_STEX,ComputerOnly_Tests,TC-15114,    0.16.621_AzureDeployment_az,[TC-15114] Create controllers with every major and minor revision available,https://sncstexregression1.az.ra.rockwell.com/stdouts/536873871.txt,POD 9 - Cobra,,Devices,"[Devices, Devices -> Device Profile]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510526\536871007,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510526\536873871,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user28)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758171058893&to=1758171330389,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user29)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758163943840&to=1758164214654
TR-20510527,2025-09-17_STEX,ComputerOnly_Tests,TC-15143,    0.16.621_AzureDeployment_az,[TC-15143] Verify that activates the Import button if add the Configure and Vlan files,https://sncstexregression1.az.ra.rockwell.com/stdouts/536873872.txt,POD 9 - Cobra,,Devices,"[Devices, Devices -> Device Profile]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783786\CL-36281\CL-38398\TS-139869\TR-20510527\536871009,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783789\CL-36281\CL-38398\TS-139869\TR-20510527\536873872,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user36)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758161877268&to=1758162047230,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user52)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758150245014&to=1758150424311
